Template ID,DICOM TID Name,Row No,NL,REL with Parent,VT,Concept Name,VM,Req Type (DICOM),Req Type (IHE),Condition (DICOM),Condition (IHE),ValueSet (DICOM),ValueSet (IHE),in_dicom,in_ihe_mado,difference_type,DICOM Section URL,MADO Page URL,DICOM Difference Note,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Comment
2010,Key Object Selection,10,>,CONTAINS,COMPOSITE,,1-n,MC,,"At least one of Rows 8, 9 and 10 shall be present",,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
2010,Key Object Selection,11,>,CONTAINS,INCLUDE,DTID 1600 “Image Library”,1,MC,,"IFF Row 1 Concept Name = (131560, DCM, ""Manifest with Description"")",,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
1600,Image Library,1,,,CONTAINER,"EV (111028, DCM, ""Image Library"")",1,M,R+,,DCID 29 “Acquisition Modality” Non-acquisition Modality from DCID 32 “Non-Acquisition Modality” may be included.,,DCID 29 “Acquisition Modality” Non-acquisition Modality from DCID 32 “Non-Acquisition Modality” may be included.,Y,Y,both,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=50,,EuMadoImagingStudy,extension[anatomical-region] ; modality ; started ; numberOfSeries ; series ; series.uid ; series.number ; series.modality ; series.description ; series.numberOfInstances ; series.bodySite ; series.laterality ; series.started ; series.instance.extension[number-of-frames] ; series.instance.extension[ko-document-title] ; series.instance.uid ; series.instance.sopClass ; series.instance.number ; series.instance.title,SHOULD:process,SHALL:populate,"SR: EV(111028,DCM,""Image Library"") -> EV(123014, DCM, ""Target Region"") ; SR: EV(111028,DCM,""Image Library"") -> EV(121139, DCM, ""Modality"") ; Study Date (0008,0020) & Study Time (008,0030)
SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV(111060,DCM,""Study Date"") & EV (111060,DCM,""Study Time"") ; SR: EV(111028,DCM,""Image Library"") -> EV (131565, DCM, ""Number of Study Related Series"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV(112002, DCM, ""Series Instance UID"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (113607, DCM, ""Series Number"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (121139, DCM, ""Modality"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131563, DCM, ""Series Description"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131564, DCM, ""Number of Series Related Instances"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (123014, DCM, ""Target Region"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (111027, DCM, ""Image Laterality"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131561, DCM, ""Series Date"") & EV (131562, DCM, ""Series Time"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE) -> EV (121140, DCM, ""Number of Frames"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (COMPOSITE) EV (121144, DCM, ""Document Title"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE or COMPOSITE) -> Referenced SOP Sequence (0008,1199) -> Referenced SOP Instance UID (0008,1150) ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE or COMPOSITE) -> Referenced SOP Sequence (0008,1199) -> Referenced SOP Class UID (0008,1155) ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE) -> EV (113609, DCM, ""Instance Number"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (COMPOSITE) EV (113012, DCM, "" Key Object Description "" )",
1600,Image Library,1b,>,HAS ACQ CONTEXT,CODE,"EV (121139, DCM, ""Modality"")",1-n,U,R+,,DCID 29 “Acquisition Modality” Non-acquisition Modality from DCID 32 “Non-Acquisition Modality” may be included.,DCID 33 “Modality”,DCID 29 “Acquisition Modality” Non-acquisition Modality from DCID 32 “Non-Acquisition Modality” may be included.,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=50,,EuMadoImagingStudy,modality ; series.modality,SHOULD:process,SHALL:populate,"SR: EV(111028,DCM,""Image Library"") -> EV(121139, DCM, ""Modality"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (121139, DCM, ""Modality"")",
1600,Image Library,1c,>,HAS ACQ CONTEXT,UIDREF,"EV (110181, DCM, ""SOP Class UID"")",1-n,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,,,,,,,,
1600,Image Library,1d,>,HAS ACQ CONTEXT,CODE,"EV (123014, DCM, ""Target Region"")",1-n,U,R+,,Code value for target region selected. See,DCID 4031 “Common Anatomic Region”,Code value for target region selected. See 6.X.6.4.1 High-Level Anatomic Regions and Systems Value Set (See Note below).,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=50,,EuMadoImagingStudy,extension[anatomical-region] ; series.bodySite,SHOULD:process,SHALL:populate,"SR: EV(111028,DCM,""Image Library"") -> EV(123014, DCM, ""Target Region"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (123014, DCM, ""Target Region"")",
1600,Image Library,1e,>,HAS ACQ CONTEXT,TEXT,"EV (123014, DCM, ""Target Region"")",1-n,U,R+,,Code value for target region selected. See,,Code value for target region selected. See 6.X.6.4.1 High-Level Anatomic Regions and Systems Value Set (See Note below).,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=50,,EuMadoImagingStudy,extension[anatomical-region] ; series.bodySite,,,"SR: EV(111028,DCM,""Image Library"") -> EV(123014, DCM, ""Target Region"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (123014, DCM, ""Target Region"")",
1600,Image Library,1f,>,HAS ACQ CONTEXT,NUM,"EV (131565, DCM, ""Number of Study Related Series"")",1,U,R+,,"UNITS = EV ({series}, UCUM, ""series"") This value shall reflect the number of series in the study as referenced by the Current Requested Procedure Evidence Sequence (0040,A375).","UNITS = EV ({series}, UCUM, ""series"")","UNITS = EV ({series}, UCUM, ""series"") This value shall reflect the number of series in the study as referenced by the Current Requested Procedure Evidence Sequence (0040,A375).",Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,numberOfSeries,SHOULD:process,SHALL:populate,"SR: EV(111028,DCM,""Image Library"") -> EV (131565, DCM, ""Number of Study Related Series"")",
1600,Image Library,2,>,CONTAINS,CONTAINER,"EV (126200, DCM, ""Image Library Group"")",1-n,U,R+,,Code value for target region selected. See,,Code value for target region selected. See 6.X.6.4.1 High-Level Anatomic Regions and Systems Value Set (See Note below).,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=50,,EuMadoImagingStudy,started ; series ; series.uid ; series.number ; series.modality ; series.description ; series.numberOfInstances ; series.bodySite ; series.laterality ; series.started ; series.instance.extension[number-of-frames] ; series.instance.extension[ko-document-title] ; series.instance.uid ; series.instance.sopClass ; series.instance.number ; series.instance.title,SHOULD:process,SHALL:populate,"Study Date (0008,0020) & Study Time (008,0030)
SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV(111060,DCM,""Study Date"") & EV (111060,DCM,""Study Time"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV(112002, DCM, ""Series Instance UID"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (113607, DCM, ""Series Number"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (121139, DCM, ""Modality"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131563, DCM, ""Series Description"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131564, DCM, ""Number of Series Related Instances"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (123014, DCM, ""Target Region"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (111027, DCM, ""Image Laterality"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131561, DCM, ""Series Date"") & EV (131562, DCM, ""Series Time"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE) -> EV (121140, DCM, ""Number of Frames"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (COMPOSITE) EV (121144, DCM, ""Document Title"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE or COMPOSITE) -> Referenced SOP Sequence (0008,1199) -> Referenced SOP Instance UID (0008,1150) ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE or COMPOSITE) -> Referenced SOP Sequence (0008,1199) -> Referenced SOP Class UID (0008,1155) ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE) -> EV (113609, DCM, ""Instance Number"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (COMPOSITE) EV (113012, DCM, "" Key Object Description "" )",
1600,Image Library,3,>>,HAS ACQ CONTEXT,INCLUDE,DTID 1602 “Image Library Entry Descriptors”,1,U,R+,,"UNITS = EV ({series}, UCUM, ""series"") This value shall reflect the number of series in the study as referenced by the Current Requested Procedure Evidence Sequence (0040,A375).",,"UNITS = EV ({series}, UCUM, ""series"") This value shall reflect the number of series in the study as referenced by the Current Requested Procedure Evidence Sequence (0040,A375).",Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,,,,SHALL:populate,,
1600,Image Library,4,>>,CONTAINS,INCLUDE,DTID 1601 “Image Library Entry”,1-n,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1600,,,,,,,,
1601,Image Library Entry,1,,,IMAGE,,1,MC,,"XOR Rows 3, 5",,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1601,,,,,,,,
1601,Image Library Entry,2,>,HAS ACQ CONTEXT,INCLUDE,DTID 1602 “Image Library Entry Descriptors”,1,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1601,,,,,,,,
1601,Image Library Entry,3,,,COMPOSITE,,1,MC,,"XOR Rows 1, 5",,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1601,,,,,,,,
1601,Image Library Entry,4,>,HAS ACQ CONTEXT,INCLUDE,DTID 1602 “Image Library Entry Descriptors”,1,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1601,,,,,,,,
1601,Image Library Entry,5,,,WAVEFORM,,1,MC,,"XOR Rows 1, 3",,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1601,,,,,,,,
1601,Image Library Entry,6,>,HAS ACQ CONTEXT,INCLUDE,DTID 1602 “Image Library Entry Descriptors”,1,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1601,,,,,,,,

1602-s,Image Library Entry Descriptors (series),1,,HAS ACQ CONTEXT,CODE,"EV (121139, DCM, ""Modality"")",1,U,R+,,DCID 33 “Modality”,DCID 33 “Modality”,DCID 33 “Modality”,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,,EuMadoImagingStudy,modality ; series.modality,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(121139, DCM, ""Modality"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (121139, DCM, ""Modality"")",
1602-s,Image Library Entry Descriptors (series),2,,HAS ACQ CONTEXT,CODE,"EV (123014, DCM, ""Target Region"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,DCID 4031 “Common Anatomic Region”,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,extension[anatomical-region] ; series.bodySite,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(123014, DCM, ""Target Region"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (123014, DCM, ""Target Region"")",
1602-s,Image Library Entry Descriptors (series),2b,,HAS ACQ CONTEXT,TEXT,"EV (123014, DCM, ""Target Region"")",1,U,RC+,,This is a fine- grained series level anatomical region,,This is a fine- grained series level anatomical region,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,,EuMadoImagingStudy,extension[anatomical-region] ; series.bodySite,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(123014, DCM, ""Target Region"") ; SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (123014, DCM, ""Target Region"")",
1602-s,Image Library Entry Descriptors (series),3,,HAS ACQ CONTEXT,CODE,"EV (111027, DCM, ""Image Laterality"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,DCID 244 “Laterality”,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,series.laterality,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (111027, DCM, ""Image Laterality"")",
1602-s,Image Library Entry Descriptors (series),4,,HAS ACQ CONTEXT,DATE,"EV (111060, DCM, ""Study Date"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,started,SHOULD:process,SHALL:able-to-populate,"Study Date (0008,0020) & Study Time (008,0030) SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV(111060,DCM,""Study Date"") & EV (111060,DCM,""Study Time"")",
1602-s,Image Library Entry Descriptors (series),5,,HAS ACQ CONTEXT,TIME,"EV (111061, DCM, ""Study Time"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,"The text string shall be consistent with the value of Series Number (0020,0011) of the referenced series.",Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,,,,,,,
1602-s,Image Library Entry Descriptors (series),5a,,HAS ACQ CONTEXT,UIDREF,"EV (112002, DCM, ""Series Instance UID"")",1,U,R+,,,,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,,EuMadoImagingStudy,series.uid,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV(112002, DCM, ""Series Instance UID"")",
1602-s,Image Library Entry Descriptors (series),5b,,HAS ACQ CONTEXT,TEXT,"EV (113607, DCM, ""Series Number"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,"The text string shall be consistent with the value of Series Number (0020,0011) of the referenced series.",Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,,EuMadoImagingStudy,series.number,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (113607, DCM, ""Series Number"")",
1602-s,Image Library Entry Descriptors (series),5c,,HAS ACQ CONTEXT,TEXT,"EV (131563, DCM, ""Series Description"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,series.description,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131563, DCM, ""Series Description"")",
1602-s,Image Library Entry Descriptors (series),5d,,HAS ACQ CONTEXT,CODE,"EV (131563, DCM, ""Series Description"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,series.description,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131563, DCM, ""Series Description"")",
1602-s,Image Library Entry Descriptors (series),5e,,HAS ACQ CONTEXT,DATE,"EV (131561, DCM, ""Series Date"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,series.started,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131561, DCM, ""Series Date"") & EV (131562, DCM, ""Series Time"")",
1602-s,Image Library Entry Descriptors (series),5f,,HAS ACQ CONTEXT,TIME,"EV (131562, DCM, ""Series Time"")",1,U,RC+,,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,series.started,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131561, DCM, ""Series Date"") & EV (131562, DCM, ""Series Time"")",
1602-s,Image Library Entry Descriptors (series),5g,,HAS ACQ CONTEXT,NUM,"EV (131564, DCM, ""Number of Series Related Instances"")",1,U,R+,,"UNITS = EV ({instances}, UCUM, ""instances"") This value shall reflect the number of instances in the series of the study as referenced in the Current Requested Procedure Evidence Sequence (0040,A375).","UNITS = EV ({instances}, UCUM, ""instances"")","UNITS = EV ({instances}, UCUM, ""instances"") This value shall reflect the number of instances in the series of the study as referenced in the Current Requested Procedure Evidence Sequence (0040,A375).",Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code,EuMadoImagingStudy,series.numberOfInstances,SHOULD:process,SHALL:able-to-populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> EV (131564, DCM, ""Number of Series Related Instances"")",
1602-s,Image Library Entry Descriptors (series),6,,HAS ACQ CONTEXT,DATE,"EV (111018, DCM, ""Content Date"")",1,U,R+,,,,,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,,,,,,,
1602-s,Image Library Entry Descriptors (series),7,,HAS ACQ CONTEXT,TIME,"EV (111019, DCM, ""Content Time"")",1,U,RC+,,This is a fine- grained series level anatomical region recommended to use DCID 4031 or CID4,,This is a fine- grained series level anatomical region recommended to use DCID 4031 or CID4,Y,Y,mado_override,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_A.html#table_TID_1602,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,,,,,,,
